file,pr,class
butterfly/OIP--04ndbWy7I04gsPgu9qOeQHaHs.jpeg,4.522324e-10,0.0
butterfly/OIP--3xxJkezSkNzxrQaxlhv-QHaHa.jpeg,4.522324e-10,0.0
butterfly/OIP--4zW12JF-JpwKcDtEK7thgHaLC.jpeg,4.522324e-10,0.0
butterfly/OIP--7K5JzW1ZEmrY2YRyVjFCQHaE7.jpeg,4.522324e-10,0.0
butterfly/OIP--8RSoaU1iEvZhemy7FlYegHaD9.jpeg,4.522324e-10,0.0
butterfly/OIP--BwCcfYAvrI0U8yYgWplXwHaF1.jpeg,4.522324e-10,0.0
butterfly/OIP--CDKKVE9j_HyFGxf8DAV7wHaJQ.jpeg,4.522324e-10,0.0
butterfly/OIP--ENWG-ez2NKhOnDxPMCeQAHaEA.jpeg,4.522324e-10,0.0
butterfly/OIP--Mpfd_ozZWI-BuFQkizVrwHaFj.jpeg,4.522324e-10,0.0
butterfly/OIP--MyP_OSXxDXRp6GD5Pci0wHaGS.jpeg,4.522324e-10,0.0
butterfly/OIP--RuA1gbd_7OnfNia4Ao5aQAAAA.jpeg,4.522324e-10,0.0
butterfly/OIP--SUPsDiwMnFmvHar3xCmjgHaFj.jpeg,4.522324e-10,0.0
butterfly/OIP--VatM86VAW7kByE6tVfTfgHaHV.jpeg,4.522324e-10,0.0
butterfly/OIP--YxmjyUUbmVOTOwA5fv3XgHaFL.jpeg,4.522324e-10,0.0
butterfly/OIP--eJJJ5u2_KgNggs6GsMtswHaHk.jpeg,4.522324e-10,0.0
butterfly/OIP--gEvtip9-FSfOy_MWMXSxQHaJ6.jpeg,4.522324e-10,0.0
butterfly/OIP--lGiTfH7hOR6PZ238zlM9QHaE7.jpeg,4.522324e-10,0.0
butterfly/OIP--mHsZ6cdBGKHe-NOtHgERgHaD-.jpeg,4.522324e-10,0.0
butterfly/OIP--oJqQhn66-DKxbj2skHKuAHaCv.jpeg,4.522324e-10,0.0
butterfly/OIP--ohLNsXa1I98upPDakBeBAHaE6.jpeg,4.522324e-10,0.0
butterfly/OIP--r8lAMrI_Mbj1zCh4WroTgHaHa.jpeg,4.522324e-10,0.0
butterfly/OIP--uJxQZUw1ibjIJDEuEXzpAHaEo.jpeg,4.522324e-10,0.0
butterfly/OIP--uyxspAMAoa6IkxtgJWdYAHaE7.jpeg,4.522324e-10,0.0
butterfly/OIP--v_vx0B7J5lpKWjLjknadQAAAA.jpeg,4.522324e-10,0.0
butterfly/OIP-0-4j2LrYb7bKSeuUdc2yJQHaLX.jpeg,4.522324e-10,0.0
butterfly/OIP-0-M4adMCfm8xuWUCy5IXdQHaKe.jpeg,4.522324e-10,0.0
butterfly/OIP-0-OGDZB7ms6WPw21pssBbgHaFj.jpeg,4.522324e-10,0.0
butterfly/OIP-02MfXWiFtDKuR4G4uMsjeAHaE7.jpeg,4.522324e-10,0.0
butterfly/OIP-05XApkSfFPeJvmujAIqQxQHaFj.jpeg,4.522324e-10,0.0
