file,pr,class,class_name
images/1.jpg,1.0,1.0,Dog
images/10.jpg,0.0,0.0,Cat
images/100.jpg,0.08086979,0.0,Cat
images/1000.jpg,1.0,1.0,Dog
images/10000.jpg,0.99988914,1.0,Dog
images/10001.jpg,1.8621265e-08,0.0,Cat
images/10002.jpg,0.0,0.0,Cat
images/10003.jpg,0.9999945,1.0,Dog
images/10004.jpg,0.99999964,1.0,Dog
images/10005.jpg,0.0,0.0,Cat
images/10006.jpg,0.0,0.0,Cat
images/10007.jpg,0.0,0.0,Cat
images/10008.jpg,1.8856248e-07,0.0,Cat
images/10009.jpg,3.441364e-05,0.0,Cat
images/1001.jpg,1.9287747e-06,0.0,Cat
images/10010.jpg,1.0,1.0,Dog
images/10011.jpg,0.9999938,1.0,Dog
images/10012.jpg,0.0,0.0,Cat
images/10013.jpg,0.0,0.0,Cat
images/10014.jpg,3.6554939e-06,0.0,Cat
images/10015.jpg,0.9999846,1.0,Dog
images/10016.jpg,0.0014283328,0.0,Cat
images/10017.jpg,0.0,0.0,Cat
images/10018.jpg,2.108255e-06,0.0,Cat
images/10019.jpg,0.0,0.0,Cat
images/1002.jpg,1.0,1.0,Dog
images/10020.jpg,1.3836848e-07,0.0,Cat
images/10021.jpg,0.0,0.0,Cat
images/10022.jpg,0.9999995,1.0,Dog
images/10023.jpg,0.9999943,1.0,Dog
images/10024.jpg,1.0,1.0,Dog
images/10025.jpg,0.9969861,1.0,Dog
images/10026.jpg,1.0,1.0,Dog
images/10027.jpg,1.0,1.0,Dog
images/10028.jpg,0.0,0.0,Cat
images/10029.jpg,0.9999231,1.0,Dog
images/1003.jpg,1.0,1.0,Dog
images/10030.jpg,1.0,1.0,Dog
images/10031.jpg,5.611462e-07,0.0,Cat
images/10032.jpg,1.1562796e-05,0.0,Cat
images/10033.jpg,2.1572389e-05,0.0,Cat
images/10034.jpg,1.0,1.0,Dog
images/10035.jpg,0.9999982,1.0,Dog
images/10036.jpg,0.9999999,1.0,Dog
images/10037.jpg,0.016185885,0.0,Cat
images/10038.jpg,1.0,1.0,Dog
images/10039.jpg,1.0,1.0,Dog
images/1004.jpg,0.9999999,1.0,Dog
images/10040.jpg,0.0,0.0,Cat
images/10041.jpg,0.99999964,1.0,Dog
images/10042.jpg,0.3924603,0.0,Cat
images/10043.jpg,1.0,1.0,Dog
images/10044.jpg,0.0,0.0,Cat
images/10045.jpg,0.99980813,1.0,Dog
images/10046.jpg,0.9930521,1.0,Dog
images/10047.jpg,0.99999964,1.0,Dog
images/10048.jpg,1.0,1.0,Dog
images/10049.jpg,1.2618013e-07,0.0,Cat
images/1005.jpg,0.0,0.0,Cat
images/10050.jpg,0.6161316,1.0,Dog
images/10051.jpg,0.01214673,0.0,Cat
images/10052.jpg,0.0,0.0,Cat
images/10053.jpg,0.99987185,1.0,Dog
images/10054.jpg,2.9119294e-06,0.0,Cat
images/10055.jpg,7.3825454e-08,0.0,Cat
images/10056.jpg,1.0,1.0,Dog
images/10057.jpg,0.0072217165,0.0,Cat
images/10058.jpg,0.9999999,1.0,Dog
images/10059.jpg,0.9911719,1.0,Dog
images/1006.jpg,0.9999999,1.0,Dog
images/10060.jpg,0.99996173,1.0,Dog
images/10061.jpg,0.11825328,0.0,Cat
images/10062.jpg,0.0,0.0,Cat
images/10063.jpg,0.999008,1.0,Dog
images/10064.jpg,0.999998,1.0,Dog
images/10065.jpg,4.154087e-06,0.0,Cat
images/10066.jpg,1.2579817e-05,0.0,Cat
images/10067.jpg,9.054403e-06,0.0,Cat
images/10068.jpg,0.0,0.0,Cat
images/10069.jpg,4.5606866e-06,0.0,Cat
images/1007.jpg,0.9999999,1.0,Dog
images/10070.jpg,1.0,1.0,Dog
images/10071.jpg,0.0,0.0,Cat
images/10072.jpg,9.162561e-08,0.0,Cat
images/10073.jpg,0.99635386,1.0,Dog
images/10074.jpg,0.0,0.0,Cat
images/10075.jpg,3.3913093e-07,0.0,Cat
images/10076.jpg,5.337812e-07,0.0,Cat
images/10077.jpg,3.899904e-05,0.0,Cat
images/10078.jpg,0.99999976,1.0,Dog
images/10079.jpg,0.0,0.0,Cat
images/1008.jpg,1.9343358e-06,0.0,Cat
images/10080.jpg,0.99999976,1.0,Dog
images/10081.jpg,0.053233117,0.0,Cat
images/10082.jpg,6.8386407e-06,0.0,Cat
images/10083.jpg,0.0,0.0,Cat
images/10084.jpg,1.0,1.0,Dog
images/10085.jpg,1.0,1.0,Dog
images/10086.jpg,1.0,1.0,Dog
images/10087.jpg,1.0,1.0,Dog
images/10088.jpg,0.0,0.0,Cat
images/10089.jpg,0.016566496,0.0,Cat
images/1009.jpg,0.9999999,1.0,Dog
images/10090.jpg,0.009518035,0.0,Cat
images/10091.jpg,0.0,0.0,Cat
images/10092.jpg,0.9999976,1.0,Dog
images/10093.jpg,0.93331206,1.0,Dog
images/10094.jpg,1.0,1.0,Dog
images/10095.jpg,0.0,0.0,Cat
