model-1585470032, 0, 1585470032.446,0.55,0.2491,0.58,0.2429
model-1585470032, 0, 1585470032.493,0.51,0.2498,0.46,0.2526
model-1585470032, 0, 1585470032.518,0.49,0.2519,0.55,0.25
model-1585470032, 0, 1585470032.543,0.48,0.2504,0.48,0.2509
model-1585470032, 0, 1585470032.569,0.46,0.2506,0.51,0.2501
model-1585470032, 0, 1585470032.592,0.4,0.251,0.45,0.2502
model-1585470032, 0, 1585470032.615,0.5,0.2501,0.56,0.2499
model-1585470032, 0, 1585470032.639,0.47,0.2501,0.53,0.25
model-1585470032, 0, 1585470032.686,0.53,0.25,0.49,0.25
model-1585470032, 0, 1585470032.724,0.4,0.2501,0.52,0.2498
model-1585470032, 0, 1585470032.745,0.46,0.2503,0.44,0.2506
model-1585470032, 0, 1585470032.766,0.47,0.2503,0.51,0.2497
model-1585470032, 0, 1585470032.788,0.51,0.2498,0.51,0.2497
model-1585470032, 0, 1585470032.809,0.5,0.2497,0.51,0.2498
model-1585470032, 0, 1585470032.83,0.47,0.2499,0.51,0.2499
model-1585470032, 0, 1585470032.851,0.5,0.25,0.59,0.2493
model-1585470032, 0, 1585470032.872,0.59,0.249,0.43,0.2512
model-1585470032, 0, 1585470032.893,0.42,0.2521,0.47,0.2506
model-1585470032, 0, 1585470032.915,0.47,0.2504,0.47,0.2503
model-1585470032, 0, 1585470032.938,0.43,0.251,0.54,0.2497
model-1585470032, 0, 1585470032.961,0.54,0.2495,0.51,0.2487
model-1585470032, 0, 1585470032.985,0.54,0.2492,0.49,0.2495
model-1585470032, 0, 1585470033.007,0.51,0.2492,0.55,0.2462
model-1585470032, 0, 1585470033.028,0.46,0.2507,0.43,0.252
model-1585470032, 0, 1585470033.049,0.52,0.2468,0.6,0.2446
model-1585470032, 0, 1585470033.071,0.45,0.2536,0.64,0.2441
model-1585470032, 0, 1585470033.092,0.44,0.2505,0.6,0.248
model-1585470032, 0, 1585470033.115,0.52,0.2484,0.5,0.2504
model-1585470032, 0, 1585470033.136,0.6,0.2482,0.56,0.2491
model-1585470032, 0, 1585470033.159,0.67,0.2472,0.59,0.246
model-1585470032, 0, 1585470033.183,0.62,0.2462,0.55,0.2472
model-1585470032, 0, 1585470033.206,0.48,0.2517,0.52,0.2495
model-1585470032, 0, 1585470033.229,0.51,0.2476,0.42,0.2515
model-1585470032, 0, 1585470033.251,0.56,0.2466,0.51,0.249
model-1585470032, 0, 1585470033.273,0.53,0.2498,0.53,0.2464
model-1585470032, 0, 1585470033.297,0.62,0.2435,0.51,0.2498
model-1585470032, 0, 1585470033.322,0.54,0.2471,0.56,0.2414
